lexeme,variants,msg,mpl,fsg,fpl
antipodaire,antipodaire,ɑ̃tipOdɛʁ,ɑ̃tipOdɛʁ,ɑ̃tipOdɛʁ,ɑ̃tipOdɛʁ
antipoison,antipoison,ɑ̃tipwazɔ̃,ɑ̃tipwazɔ̃,ɑ̃tipwazɔ̃,ɑ̃tipwazɔ̃
antipoliomyélitique,antipoliomyélitique,ɑ̃tipOljOmjElitik,ɑ̃tipOljOmjElitik,ɑ̃tipOljOmjElitik,ɑ̃tipOljOmjElitik
antipollution,antipollution,ɑ̃tipOlysjɔ̃,ɑ̃tipOlysjɔ̃,ɑ̃tipOlysjɔ̃,ɑ̃tipOlysjɔ̃
antipopulaire,antipopulaire,ɑ̃tipOpylɛʁ,ɑ̃tipOpylɛʁ,ɑ̃tipOpylɛʁ,ɑ̃tipOpylɛʁ
antique,antique,ɑ̃tik,ɑ̃tik,ɑ̃tik,ɑ̃tik
antirabique,antirabique,ɑ̃tiʁabik,ɑ̃tiʁabik,ɑ̃tiʁabik,ɑ̃tiʁabik
antiraciste,antiraciste,ɑ̃tiʁasist,ɑ̃tiʁasist,ɑ̃tiʁasist,ɑ̃tiʁasist
antiradiation,antiradiation,ɑ̃tiʁadjasjɔ̃,ɑ̃tiʁadjasjɔ̃,ɑ̃tiʁadjasjɔ̃,ɑ̃tiʁadjasjɔ̃
antireligieux,antireligieux,ɑ̃tiʁəliʒjø,ɑ̃tiʁəliʒjø,ɑ̃tiʁəliʒjøz,ɑ̃tiʁəliʒjøz
antirépublicain,antirépublicain,ɑ̃tiʁEpyblikɛ̃,ɑ̃tiʁEpyblikɛ̃,ɑ̃tiʁEpyblikɛn,ɑ̃tiʁEpyblikɛn
antirides,antirides,ɑ̃tiʁid,ɑ̃tiʁid,ɑ̃tiʁid,ɑ̃tiʁid
antirouille,antirouille,ɑ̃tiʁuj,ɑ̃tiʁuj,ɑ̃tiʁuj,ɑ̃tiʁuj
antisatellite,antisatellite,ɑ̃tisatElit,ɑ̃tisatElit,ɑ̃tisatElit,ɑ̃tisatElit
antiscientifique,antiscientifique,ɑ̃tisjɑ̃tifik,ɑ̃tisjɑ̃tifik,ɑ̃tisjɑ̃tifik,ɑ̃tisjɑ̃tifik
antiseptique,antiseptique,ɑ̃tisEptik,ɑ̃tisEptik,ɑ̃tisEptik,ɑ̃tisEptik
antisexiste,antisexiste,ɑ̃tisEksist,ɑ̃tisEksist,ɑ̃tisEksist,ɑ̃tisEksist
antisexuel,antisexuel,ɑ̃tisEksɥɛl,ɑ̃tisEksɥɛl,ɑ̃tisEksɥɛl,ɑ̃tisEksɥɛl
antisioniste,antisioniste,ɑ̃tisjOnist,ɑ̃tisjOnist,ɑ̃tisjOnist,ɑ̃tisjOnist
antiskating,antiskating,ɑ̃tiskEtiŋ,ɑ̃tiskEtiŋ,ɑ̃tiskEtiŋ,ɑ̃tiskEtiŋ
antisolaire,antisolaire,ɑ̃tisOlɛʁ,ɑ̃tisOlɛʁ,ɑ̃tisOlɛʁ,ɑ̃tisOlɛʁ
antispasmodique,antispasmodique,ɑ̃tispasmOdik,ɑ̃tispasmOdik,ɑ̃tispasmOdik,ɑ̃tispasmOdik
antisportif,antisportif,ɑ̃tispɔʁtif,ɑ̃tispɔʁtif,ɑ̃tispɔʁtiv,ɑ̃tispɔʁtiv
antistalinien,antistalinien,ɑ̃tistalinjɛ̃,ɑ̃tistalinjɛ̃,ɑ̃tistalinjɛn,ɑ̃tistalinjɛn
antistatique,antistatique,ɑ̃tistatik,ɑ̃tistatik,ɑ̃tistatik,ɑ̃tistatik
antistress,antistress,ɑ̃tistʁɛs,ɑ̃tistʁɛs,ɑ̃tistʁɛs,ɑ̃tistʁɛs
antitétanique,antitétanique,ɑ̃titEtanik,ɑ̃titEtanik,ɑ̃titEtanik,ɑ̃titEtanik
antithétique,antithétique,ɑ̃titEtik,ɑ̃titEtik,ɑ̃titEtik,ɑ̃titEtik
antitoxique,antitoxique,ɑ̃titOksik,ɑ̃titOksik,ɑ̃titOksik,ɑ̃titOksik
antitrust,antitrust,ɑ̃titʁœst,ɑ̃titʁœst,ɑ̃titʁœst,ɑ̃titʁœst
antitussif,antitussif,ɑ̃titysif,ɑ̃titysif,ɑ̃titysiv,ɑ̃titysiv
antityphoïdique,antityphoïdique,ɑ̃titifOidik,ɑ̃titifOidik,ɑ̃titifOidik,ɑ̃titifOidik
antivariolique,antivariolique,ɑ̃tivaʁjOlik,ɑ̃tivaʁjOlik,ɑ̃tivaʁjOlik,ɑ̃tivaʁjOlik
antivenimeux,antivenimeux,ɑ̃tivənimø,ɑ̃tivənimø,ɑ̃tivənimøz,ɑ̃tivənimøz
antiviolence,antiviolence,ɑ̃tivjOlɑ̃s,ɑ̃tivjOlɑ̃s,ɑ̃tivjOlɑ̃s,ɑ̃tivjOlɑ̃s
